date,precipitation,temp_max,temp_min,            wind_speed,weather
04-01-2012,1.5,8.9,4.4,6.8,rain
04-02-2012,0,16.7,4.4,3.1,sun
04-03-2012,1.5,11.7,3.3,3.1,rain
04-04-2012,0,10.6,2.8,2.1,sun
04-05-2012,4.6,9.4,2.8,1.8,snow
04-06-2012,0.3,11.1,3.3,2.6,rain
04-07-2012,0,16.1,1.7,4.3,sun
04-08-2012,0,21.1,7.2,4.1,sun
04-09-2012,0,20,6.1,2.1,sun
04-10-2012,0,17.8,8.9,3.2,rain
04-11-2012,2.3,11.1,7.2,2.6,rain
04-12-2012,0.5,13.9,5.6,2.6,rain
                  4/13/2012,0,15,3.9,4,drizzle
                  4/14/2012,0,15.6,3.3,3,sun
                   4/15/2012,0,16.1,7.2,2.9,rain
                  4/16/2012,8.1,13.3,6.7,5.8,rain
                  4/17/2012,1.8,10,4.4,2,rain
                  4/18/2012,1.8,13.3,7.2,3.9,rain
                  4/19/2012,10.9,13.9,5,2.6,rain
                  4/20/2012,6.6,13.3,6.7,2.7,rain
                  4/21/2012,0,20,4.4,2.3,sun
                  4/22/2012,0,23.3,8.3,2.6,rain
                  4/23/2012,0,21.7,8.9,3.5,sun
                 4/24/2012,4.3,13.9,10,2.8,rain
                 4/25/2012,10.7,16.7,8.9,2.6,rain
                4/26/2012,3.8,13.9,6.7,5.2,rain
                4/27/2012,0.8,13.3,6.1,4.8,rain
                   4/28/2012,0,16.1,8.3,2.5,drizzle
                   4/29/2012,4.3,15.6,8.9,1.6,rain
                  4/30/2012,4.3,12.8,7.2,8,rain
05-01-2012,0.5,11.7,6.1,6.4,rain
05-02-2012,0.5,13.3,5.6,2.5,rain
05-03-2012,18.5,11.1,7.2,3.4,rain
05-04-2012,1.8,12.2,6.1,4.6,rain
05-05-2012,0,13.3,5,2.3,sun
05-06-2012,0,17.8,5,2.4,sun
05-07-2012,0,23.9,6.1,2.2,sun
05-08-2012,0,18.3,9.4,3,sun
05-09-2012,0,13.3,6.7,3.9,rain
05-10-2012,0,14.4,3.9,3,sun
05-11-2012,0,18.3,4.4,4.3,sun
05-12-2012,0,24.4,6.7,3.4,sun
                   5/13/2012,0,25.6,9.4,4.2,sun
                  5/14/2012,0,26.7,12.8,3.8,sun
                  5/15/2012,0,24.4,9.4,4.1,drizzle
                  5/16/2012,0,19.4,9.4,3.5,sun
                   5/17/2012,0,17.8,6.7,2.9,rain
                 5/18/2012,0,15.6,7.8,3.1,rain
                 5/19/2012,0,19.4,7.2,1.5,sun
                   5/20/2012,6.4,14.4,11.7,1.3,rain
                5/21/2012,14,16.7,10,4,rain
                5/22/2012,6.1,12.8,8.9,4.8,rain
                5/23/2012,0.3,14.4,8.9,6.3,rain
                 5/24/2012,0,17.2,8.9,3.3,rain
                 5/25/2012,0,22.2,8.9,3.1,rain
                 5/26/2012,0,22.2,8.9,3.6,sun
                 5/27/2012,0,17.2,11.7,3.7,sun
                5/28/2012,0,16.7,10,3.4,rain
                 5/29/2012,0,16.1,7.8,1.8,sun
                 5/30/2012,0.3,18.9,11.1,1.5,rain
                  5/31/2012,3.8,17.8,12.2,2.7,rain
06-01-2012,6.6,20,12.8,3.7,rain
06-02-2012,0.3,18.9,10.6,3.7,rain
06-03-2012,0,17.2,9.4,2.9,sun
06-04-2012,1.3,12.8,8.9,3.1,rain
06-05-2012,16,13.3,8.3,3.3,rain
06-06-2012,0,16.1,6.1,3.4,sun
06-07-2012,16.5,16.1,8.9,3.5,rain
06-08-2012,1.5,15,8.3,3,rain
06-09-2012,0,17.2,8.3,4.7,rain
06-10-2012,0,18.9,10,2.9,sun
06-11-2012,0,23.3,10,1.8,rain
06-12-2012,0.8,18.3,12.8,3.9,rain
                   6/13/2012,0,16.1,11.1,4.3,sun
                   6/14/2012,0,17.2,10,2.7,sun
                   6/15/2012,0,22.2,9.4,1.7,sun
                  6/16/2012,0,21.1,15,4.1,rain
                   6/17/2012,0,18.9,11.7,6.4,sun
                  6/18/2012,3,17.2,10,3.8,rain
                  6/19/2012,1,19.4,10,3,rain
                  6/20/2012,0,24.4,10,3,sun
                  6/21/2012,0,23.9,11.7,2.1,sun
                  6/22/2012,15.7,13.9,11.7,1.9,rain
                 6/23/2012,8.6,15.6,9.4,2.5,rain
                  6/24/2012,0,19.4,9.4,2,drizzle
                  6/25/2012,0.5,19.4,11.1,3.1,rain
                   6/26/2012,0,18.3,10.6,3.4,rain
                   6/27/2012,0,22.8,8.9,1.8,sun
                   6/28/2012,0,22.2,11.7,2.5,rain
                  6/29/2012,0.3,21.7,15,1.9,rain
                  6/30/2012,3,20,13.3,2.4,rain
07-01-2012,0,20,12.2,2.3,rain
07-02-2012,2,18.9,11.7,2.1,rain
07-03-2012,5.8,18.3,10.6,6,rain
07-04-2012,0,20.6,9.4,3.8,sun
07-05-2012,0,24.4,10.6,3.1,drizzle
07-06-2012,0,25,11.1,2.1,sun
07-07-2012,0,26.7,12.8,3.8,sun
07-08-2012,0,28.3,14.4,2.8,rain
07-09-2012,1.5,25,12.8,2,rain
07-10-2012,0,23.9,11.1,2.3,drizzle
07-11-2012,0,27.8,13.3,2.9,fog
07-12-2012,0,25.6,13.3,2.7,drizzle
                   7/13/2012,0.5,23.3,13.9,2.2,rain
                   7/14/2012,0,25,15,2.2,rain
                   7/15/2012,0,18.9,13.3,3.8,rain
                   7/16/2012,0.3,26.1,13.3,2.5,rain
                  7/17/2012,0,21.7,15,2.6,sun
                   7/18/2012,0,21.1,14.4,2.9,sun
                    7/19/2012,0,25,14.4,2.2,sun
                   7/20/2012,15.2,19.4,13.9,4,rain
                   7/21/2012,0,23.9,13.9,2.3,sun
                   7/22/2012,1,20.6,12.2,3.9,rain
                   7/23/2012,0,18.9,11.1,3.3,rain
                  7/24/2012,0,23.3,12.2,4.3,sun
                  7/25/2012,0,26.7,12.8,2.6,sun
                  7/26/2012,0,25.6,12.8,2.2,drizzle
                  7/27/2012,0,18.9,13.9,2.8,drizzle
                  7/28/2012,0,22.2,13.3,1.7,drizzle
                  7/29/2012,0,22.8,15,2,sun
                  7/30/2012,0,19.4,13.3,3,sun
                  7/31/2012,0,22.8,13.9,2.8,sun
08-01-2012,0,23.9,13.3,2.2,drizzle
08-02-2012,0,23.3,12.2,2.5,sun
08-03-2012,0,27.2,12.8,3.9,sun
08-04-2012,0,33.9,16.7,3.7,sun
08-05-2012,0,33.9,17.8,1.9,sun
08-06-2012,0,28.3,15.6,2.5,rain
08-07-2012,0,21.1,15,2.6,drizzle
08-08-2012,0,22.2,15,3.1,sun
08-09-2012,0,24.4,14.4,3.8,drizzle
08-10-2012,0,25.6,12.2,2.3,sun
08-11-2012,0,28.3,13.3,2.5,sun
08-12-2012,0,30.6,15,3,sun
                   8/13/2012,0,30.6,15,2.8,sun
                   8/14/2012,0,28.9,13.9,2.8,sun
                   8/15/2012,0,31.1,16.7,4.7,sun
                   8/16/2012,0,34.4,18.3,2.8,sun
                    8/17/2012,0,32.8,16.1,1.8,sun
                   8/18/2012,0,21.7,14.4,3,drizzle
                   8/19/2012,0,23.3,15,2.7,drizzle
                   8/20/2012,0,25.6,15,1.9,sun
                   8/21/2012,0,23.3,13.3,3,rain
                   8/22/2012,0,22.2,13.3,2.3,sun
                  8/23/2012,0,21.1,13.9,3.8,sun
                  8/24/2012,0,22.2,10,3.3,sun
                   8/25/2012,0,26.1,11.7,3.2,sun
                   8/26/2012,0,21.1,12.2,3.4,sun
                   8/27/2012,0,23.9,13.3,1.8,sun
                   8/28/2012,0,22.8,12.2,3.2,sun
                   8/29/2012,0,22.8,13.3,2.4,sun
                   8/30/2012,0,22.8,12.8,1.9,sun
                  8/31/2012,0,22.2,10.6,2.9,sun
09-01-2012,0,21.7,10.6,2.1,sun
09-02-2012,0,21.1,10,2,sun
09-03-2012,0,22.8,12.8,3.3,sun
09-04-2012,0,24.4,11.1,3.1,sun
09-05-2012,0,26.1,11.7,2.6,sun
09-06-2012,0,28.3,14.4,4.2,sun
09-07-2012,0,32.2,13.3,3.1,sun
09-08-2012,0,25,13.3,3,sun
09-09-2012,0.3,18.9,13.9,5,rain
09-10-2012,0.3,20,11.7,3.9,rain
09-11-2012,0,20,8.9,4.2,sun
09-12-2012,0,22.2,10,5.6,sun
                  9/13/2012,0,27.8,11.7,3.6,sun
                  9/14/2012,0,26.1,11.1,1.5,sun
                  9/15/2012,0,22.2,11.1,1.9,sun
                  9/16/2012,0,24.4,9.4,2.3,sun
                  9/17/2012,0,27.8,11.7,2.2,fog
                   9/18/2012,0,27.8,11.7,1.4,sun
                   9/19/2012,0,23.9,11.7,1.9,drizzle
                   9/20/2012,0,19.4,10,2.5,drizzle
                   9/21/2012,0,16.1,12.8,2.1,drizzle
                   9/22/2012,0.3,19.4,11.7,1.1,rain
                   9/23/2012,0,19.4,10,1.4,fog
                   9/24/2012,0,21.1,10,1.8,fog
                   9/25/2012,0,19.4,11.1,1.7,sun
                   9/26/2012,0,19.4,9.4,1.7,drizzle
                   9/27/2012,0,22.8,10,1.7,drizzle
                   9/28/2012,0,25,12.2,1.1,rain
                   9/29/2012,0,20.6,12.2,4.3,sun
                   9/30/2012,0,21.1,7.8,3.1,sun
10-01-2012,0,23.3,8.9,3,sun
10-02-2012,0,17.8,10,4.1,sun
10-03-2012,0,18.9,7.8,7.3,sun
10-04-2012,0,18.9,8.3,6.5,sun
10-05-2012,0,21.7,8.9,5.7,sun
10-06-2012,0,23.9,7.8,5.1,sun
10-07-2012,0,23.9,7.8,1.3,sun
10-08-2012,0,21.1,7.8,1.9,sun
10-09-2012,0,16.1,8.9,1.6,drizzle
10-10-2012,0,12.2,8.3,1.4,drizzle
10-11-2012,0,13.9,7.2,1.3,drizzle
10-12-2012,2,13.9,8.9,4.6,rain
                10/13/2012,4.8,15.6,12.2,3.9,rain
                10/14/2012,16.5,17.8,13.3,3.4,rain
               10/15/2012,7.9,17.2,11.1,4.6,rain
              10/16/2012,0,16.1,8.3,5.5,sun
               10/17/2012,0,14.4,6.1,1.6,sun
                 10/18/2012,20.8,17.8,6.7,2,rain
                10/19/2012,4.8,15,9.4,5.3,rain
              10/20/2012,0.5,11.1,6.1,5.7,rain
               10/21/2012,6.4,11.7,4.4,2.7,rain
              10/22/2012,8.9,7.8,3.3,2.6,rain
              10/23/2012,0,11.1,5.6,3,rain
             10/24/2012,7.1,11.7,6.1,2.1,rain
               10/25/2012,0,11.7,6.7,1.5,sun
               10/26/2012,1.5,11.1,7.2,2.5,rain
               10/27/2012,23.1,14.4,9.4,5.1,rain
               10/28/2012,6.1,14.4,10,3.8,rain
              10/29/2012,10.9,15.6,10,4.9,rain
               10/30/2012,34.5,15,12.2,2.8,rain
               10/31/2012,14.5,15.6,11.1,2.7,rain
11-01-2012,9.7,15,10.6,3,rain
11-02-2012,5.6,15,10.6,1,rain
11-03-2012,0.5,15.6,11.1,3.6,rain
11-04-2012,8.1,17.8,12.8,3.8,rain
11-05-2012,0.8,15,7.8,4,rain
11-06-2012,0.3,12.8,6.7,3.5,rain
11-07-2012,0,12.2,3.9,3.4,rain
11-08-2012,0,10,1.1,3.4,rain
11-09-2012,0,8.9,1.1,2,rain
11-10-2012,0,7.8,-0.6,2.2,sun
11-11-2012,15.2,8.9,1.1,3,rain
11-12-2012,3.6,12.8,6.1,3,rain
                11/13/2012,5.3,11.1,7.8,2.5,rain
                11/14/2012,0.8,11.1,5,2.6,rain
                11/15/2012,0,9.4,2.8,2.4,drizzle
                11/16/2012,5.6,9.4,2.2,1.6,rain
                11/17/2012,6.1,12.2,6.1,5.3,rain
               11/18/2012,7.9,10,6.1,4.9,rain
               11/19/2012,54.1,13.3,8.3,6,rain
                11/20/2012,3.8,11.1,7.2,4.2,rain
               11/21/2012,11.2,8.3,3.9,5.5,rain
               11/22/2012,0,8.9,2.8,1.5,rain
               11/23/2012,32,9.4,6.1,2.4,rain
                11/24/2012,0,8.9,3.9,1.2,rain
                 11/25/2012,0,8.3,1.1,3.6,drizzle
              11/26/2012,0,9.4,1.7,3.8,fog
               11/27/2012,0,10,1.7,1.5,sun
              11/28/2012,2.8,9.4,2.2,2.9,rain
            11/29/2012,1.5,12.8,7.8,4.2,rain
                11/30/2012,35.6,15,7.8,4.6,rain
12-01-2012,4.1,13.3,8.3,5.5,rain
12-02-2012,19.6,8.3,7.2,6.2,rain
12-03-2012,13,9.4,7.2,4.4,rain
12-04-2012,14.2,11.7,7.2,6.2,rain
12-05-2012,1.5,8.9,4.4,5,rain
12-06-2012,1.5,7.2,6.1,5.1,rain
12-07-2012,1,7.8,3.3,4.6,rain
12-08-2012,0,6.7,3.3,2,sun
12-09-2012,1.5,6.7,2.8,2.1,rain
12-10-2012,0.5,7.2,5.6,1.8,rain
12-11-2012,3,7.8,5.6,4.5,rain
12-12-2012,8.1,6.7,4.4,2,rain
                  12/13/2012,2.3,7.2,3.3,2.8,rain
             12/14/2012,7.9,6.1,1.1,1.7,rain
               12   /15/2012,5.3,4.4,0.6,5.1,snow
               12/16/2012,22.6,6.7,3.3,5.5,snow
               12/17/2012,2,8.3,1.7,9.5,rain
               12/18/2012,3.3,3.9,0.6,5.3,snow
               12/19/2012,13.7,8.3,1.7,5.8,snow
               12/20/2012,13.2,7.2,0.6,3.7,rain
               12/21/2012,1.8,8.3,-1.7,1.7,rain
               12/22/2012,3.3,8.3,3.9,3.5,rain
               12/23/2012,6.6,7.2,3.3,2.5,rain
              12/24/2012,0.3,5.6,2.8,2.8,rain
              12/25/2012,13.5,5.6,2.8,4.2,snow
            12/26/2012,4.6,6.7,3.3,4.9,rain
                 12/27/2012,4.1,7.8,3.3,3.2,rain
             12/28/2012,0,8.3,3.9,1.7,rain
             12/29/2012,1.5,5,3.3,1.7,rain
            12/30/2012,0,4.4,0,1.8,drizzle
            12/31/2012,0,3.3,-1.1,2,drizzle
